request_id,created_at,closed_at,status,priority,category,subcategory,location,team,owner,channel,sla_hours,resolution_hours,reopened,satisfaction_score,last_updated_at,source_system
SR-100013,2026-04-27T07:44:31.139923Z,2026-04-30T23:34:24.881302Z,Closed,Normal,Delivery & Fulfillment,Late delivery,Central Service Center,Customer Care,K. Johnson,Phone,48,87.83,Yes,,2026-04-30T23:34:24.881302Z,Field App
SR-100009,2026-04-27T08:38:40.439014Z,2026-04-28T15:53:33.632356Z,Closed,High,Delivery & Fulfillment,Address correction,West Service Center,Customer Care,K. Johnson,Phone,16,31.25,No,,2026-04-28T15:53:33.632356Z,Service Portal
SR-100008,2026-04-27T09:05:41.234500Z,2026-04-27T15:22:14.060649Z,Closed,Critical,General Inquiry,Feedback,South Service Center,Customer Care,B. Martin,Walk-in,4,6.28,No,3,2026-04-27T15:22:14.060649Z,Service Portal
SR-100011,2026-04-27T09:45:50.568689Z,2026-04-27T16:17:27.674660Z,Closed,Critical,General Inquiry,Status request,South Service Center,Customer Care,E. Thompson,Mobile,4,6.53,No,4,2026-04-27T16:17:27.674660Z,Service Portal
SR-100001,2026-04-27T11:11:40.023225Z,2026-04-28T22:43:53.238808Z,Closed,High,Equipment & Maintenance,Replacement request,South Service Center,Field Operations,V. Hall,Web,16,35.54,No,,2026-04-28T22:43:53.238808Z,Service Portal
SR-100005,2026-04-27T11:19:39.596067Z,2026-04-29T13:44:56.120342Z,Closed,Normal,Delivery & Fulfillment,Late delivery,South Service Center,Customer Care,D. Wilson,Web,48,50.42,No,4,2026-04-29T13:44:56.120342Z,Service Portal
SR-100003,2026-04-27T11:59:11.741804Z,2026-04-28T05:12:42.328345Z,Closed,Normal,Account Access,Identity verification,Remote,Technical Support,A. Patel,Web,48,17.23,No,4,2026-04-28T05:12:42.328345Z,Service Portal
SR-100012,2026-04-27T13:41:02.271857Z,2026-04-30T01:19:32.853342Z,Closed,Normal,Delivery & Fulfillment,Damaged item,South Service Center,Customer Care,K. Johnson,Web,48,59.64,No,4,2026-04-30T01:19:32.853342Z,Service Portal
SR-100010,2026-04-27T17:49:26.551892Z,2026-04-29T06:42:03.783908Z,Closed,Normal,Permit & Compliance,Documentation review,West Service Center,Compliance Services,O. Scott,Web,48,36.88,No,5,2026-04-29T06:42:03.783908Z,Service Portal
SR-100006,2026-04-27T18:42:09.991723Z,2026-05-02T16:39:33.908629Z,Closed,Normal,Equipment & Maintenance,Replacement request,South Service Center,Field Operations,P. Garcia,Web,48,117.96,Yes,4,2026-05-02T16:39:33.908629Z,Service Portal
SR-100014,2026-04-27T18:49:18.968368Z,2026-04-28T14:04:44.891606Z,Closed,High,Billing & Payments,Refund request,South Service Center,Billing Operations,R. Williams,Web,16,19.26,No,3,2026-04-28T14:04:44.891606Z,Contact Center
SR-100007,2026-04-27T19:04:14.706217Z,2026-04-28T02:50:28.814625Z,Closed,High,Account Access,Permission request,Central Service Center,Technical Support,J. Brooks,Email,16,7.77,No,,2026-04-28T02:50:28.814625Z,Contact Center
SR-100002,2026-04-27T19:47:18.169695Z,2026-05-01T03:20:20.480245Z,Closed,Normal,Permit & Compliance,Policy clarification,Central Service Center,Compliance Services,F. Wright,Phone,48,79.55,Yes,3,2026-05-01T03:20:20.480245Z,Service Portal
SR-100004,2026-04-27T20:28:21.968443Z,2026-04-30T01:11:03.020754Z,Closed,Normal,Delivery & Fulfillment,Late delivery,West Service Center,Customer Care,B. Martin,Web,48,52.71,No,,2026-04-30T01:11:03.020754Z,Service Portal
SR-100017,2026-04-28T07:34:08.231522Z,2026-04-29T10:15:30.182942Z,Closed,Low,Billing & Payments,Payment failure,Central Service Center,Billing Operations,T. Nguyen,Web,96,26.69,No,3,2026-04-29T10:15:30.182942Z,Service Portal
SR-100023,2026-04-28T10:09:31.501146Z,2026-04-30T07:58:29.632755Z,Closed,Normal,Billing & Payments,Payment failure,Central Service Center,Billing Operations,R. Williams,Web,48,45.82,No,,2026-04-30T07:58:29.632755Z,Contact Center
SR-100019,2026-04-28T11:50:39.242478Z,2026-04-28T08:50:39.242478Z,Closed,Low,General Inquiry,Service information,South Service Center,Customer Care,B. Martin,Email,96,-3,Yes,4,2026-04-29T07:06:23.818843Z,Service Portal
SR-100015,2026-04-28T13:55:38.417736Z,2026-04-30T15:14:12.825966Z,Closed,Low,Delivery & Fulfillment,Late delivery,Remote,Customer Care,K. Johnson,Phone,96,49.31,Yes,,2026-04-30T15:14:12.825966Z,Field App
SR-100022,2026-04-28T17:00:59.198620Z,2026-04-30T01:40:31.914372Z,Closed,High,Permit & Compliance,Policy clarification,Central Service Center,Compliance Services,F. Wright,Email,16,32.66,No,,2026-04-30T01:40:31.914372Z,Service Portal
SR-100020,2026-04-28T17:17:26.475165Z,2026-04-29T00:44:13.344785Z,Closed,Critical,General Inquiry,Service information,South Service Center,Customer Care,B. Martin,Email,4,7.45,No,4,2026-04-29T00:44:13.344785Z,Contact Center
SR-100018,2026-04-28T17:42:25.548652Z,2026-04-30T17:18:24.584783Z,Closed,Normal,Permit & Compliance,Application status,Remote,Compliance Services,G. Baker,Web,48,47.60,No,,2026-04-30T17:18:24.584783Z,Service Portal
SR-100021,2026-04-28T18:24:17.570199Z,2026-04-29T12:47:31.552704Z,Closed,Low,Account Access,Permission request,South Service Center,Technical Support,A. Patel,Mobile,96,18.39,No,4,2026-04-29T12:47:31.552704Z,Contact Center
